iter	RMSE
298	19883.95965
299	19872.04756
300	19712.89655
301	19557.39664
302	19406.67074
303	19388.7523
304	19241.15773
305	19095.63351
306	18954.85695
307	18937.66864
308	18916.35738
309	18900.17707
310	18759.49957
311	18624.82498
312	18607.03648
313	18473.67644
314	18449.88966
315	18319.51572
316	18192.25323
317	18178.13934
318	18052.65659
319	18043.13619
320	18025.17275
321	18015.47882
322	18007.50642
323	17997.60771
324	17985.4346
325	17972.02873
326	17850.0204
327	17834.20689
328	17706.70584
329	17683.57473
330	17673.38823
331	17550.32992
332	17438.26814
333	17419.45069
334	17404.39352
335	17394.86677
336	17378.77389
337	17269.46589
338	17249.60499
339	17235.07159
340	17225.65373
341	17116.69787
342	17010.42022
343	16998.40723
344	16886.28902
345	16874.39147
346	16851.68721
347	16750.29685
348	16739.53672
349	16728.93256
350	16716.547
351	16704.24964
352	16695.16511
353	16596.01743
354	16588.95205
355	16581.32126
356	16548.67725
357	16541.66122
358	16445.62357
359	16433.96949
360	16430.50946
361	16420.7439
362	16327.96463
363	16317.46393
364	16226.89584
365	16170.87879
366	16078.99639
367	16066.09312
368	16053.50671
369	16002.52626
370	15994.75583
371	15909.96134
372	15903.9064
373	15888.25912
374	15805.56913
375	15793.83478
376	15748.88045
377	15669.4761
378	15628.64726
379	15626.02859
380	15618.03396
381	15608.39298
382	15601.947
383	15527.96924
384	15527.34996
385	15519.45589
386	15513.58632
387	15448.15336
388	15440.29483
389	15432.83663
390	15424.02804
391	15419.83144
392	15413.99538
393	15412.71108
394	15407.22658
395	15399.70717
396	15384.7432
397	15363.68109
398	15358.70119
399	15353.53106
400	15347.38398
401	15312.01266
402	15304.34489
403	15300.23227
404	15226.80269
405	15219.47987
406	15214.43488
407	15212.84128
408	15201.18005
409	15193.19365
410	15121.46182
411	15051.15704
412	14983.1912
413	14981.99676
414	14974.10669
415	14967.89468
416	14964.09395
417	14954.81888
418	14889.09381
419	14824.72457
420	14813.99396
421	14745.48598
422	14744.22626
423	14683.32073
424	14678.55849
425	14673.93386
426	14666.77378
427	14665.56013
428	14657.19683
429	14629.50287
430	14611.87763
431	14589.25433
432	14568.83791
433	14510.13975
434	14508.49491
435	14502.71516
436	14497.26803
437	14440.06194
438	14435.91357
439	14425.93375
440	14417.39519
441	14361.81121
442	14345.25825
443	14336.47056
444	14327.62376
445	14270.31898
446	14268.65279
447	14262.0592
448	14253.32937
449	14252.13725
450	14245.94522
451	14238.02302
452	14185.02636
453	14176.88905
454	14171.62563
455	14162.76781
456	14110.83935
457	14098.40591
458	14048.52617
459	14046.55006
460	14036.81806
461	13986.02342
462	13954.83514
463	13907.1752
464	13901.0582
465	13900.02335
466	13853.30281
467	13851.44059
468	13806.48717
469	13796.73305
470	13788.12612
471	13765.01378
472	13694.54782
473	13682.38792
474	13675.30914
475	13670.18885
476	13661.32656
477	13654.0524
478	13647.83635
479	13634.52686
480	13592.4764
481	13587.74956
482	13579.9735
483	13573.1907
484	13529.42105
485	13520.04488
486	13511.42669
487	13504.32756
488	13495.50584
489	13452.94795
490	13437.36852
491	13396.35864
492	13389.36724
493	13379.79965
494	13372.28436
495	13332.63507
496	13326.2646
497	13318.47748
498	13311.19204
499	13310.26741
500	13298.93271
501	13261.03387
502	13260.1388
503	13259.14131
504	13254.11294
505	13217.48632
506	13210.98967
507	13204.90759
508	13203.96781
509	13197.06451
510	13190.88581
511	13184.16869
512	13173.34721
513	13167.25677
514	13161.70617
515	13156.45913
516	13151.48932
517	13150.7197
518	13143.26958
519	13131.50427
520	13127.96708
521	13127.24035
522	13121.55132
523	13118.46826
524	13117.66914
525	13113.42241
526	13108.59351
527	13071.99728
528	13036.47028
529	13035.81983
530	13026.30644
531	13021.65805
532	12988.2955
533	12982.88542
534	12958.32997
535	12951.86976
536	12940.00095
537	12937.36264
538	12932.84897
539	12899.46607
540	12893.94984
541	12883.71325
542	12878.71816
543	12869.9297
544	12836.35855
545	12831.00527
546	12821.90458
547	12816.24277
548	12812.20563
549	12808.30187
550	12805.93754
551	12798.11133
552	12794.7056
553	12790.29787
554	12785.90341
555	12755.42458
556	12713.65249
557	12700.40274
558	12695.00305
559	12686.83547
560	12678.16249
561	12668.55201
562	12629.12756
563	12623.58148
564	12621.96408
565	12618.76027
566	12615.72112
567	12608.52408
568	12579.80936
569	12576.92379
570	12572.56197
571	12567.51629
572	12561.59964
573	12559.24732
574	12531.6558
575	12529.22017
576	12525.45811
577	12524.43152
578	12518.93395
579	12512.57979
580	12479.37427
581	12473.27923
582	12439.14617
583	12431.54438
584	12428.71488
585	12424.03799
586	12415.57669
587	12407.07358
588	12400.44673
589	12388.3325
590	12380.95776
591	12373.56701
592	12367.12587
593	12363.25693
594	12358.34126
595	12326.59114
596	12321.47246
597	12316.04226
598	12307.11016
599	12297.4446
600	12293.68368
601	12290.19742
602	12288.53429
603	12283.7771
604	12279.75404
605	12274.01157
606	12270.67589
607	12265.57492
608	12251.51717
609	12247.07489
610	12242.42422
611	12237.71174
612	12232.48198
613	12228.02201
614	12223.8532
615	12217.13328
616	12212.1557
617	12206.09068
618	12193.2879
619	12191.15178
620	12167.64847
621	12161.72407
622	12160.35667
623	12158.23275
624	12157.57275
625	12149.72505
626	12125.34033
627	12116.15817
628	12111.53855
629	12084.66219
630	12079.66813
631	12075.21214
632	12072.76077
633	12071.35789
634	12070.18799
635	12068.21905
636	12063.96575
637	12063.5387
638	12059.39313
639	12055.80017
640	12049.36426
641	12048.94247
642	12043.98127
643	12035.66962
644	12031.21271
645	12005.82584
646	11999.55746
647	11954.44686
648	11951.3749
649	11950.44407
650	11948.04971
651	11924.83463
652	11923.89628
653	11922.99544
654	11881.10677
655	11880.29252
656	11851.16451
657	11829.9755
658	11802.7188
659	11795.52961
660	11794.73733
661	11789.68095
662	11785.90266
663	11779.92211
664	11763.1757
665	11750.75948
666	11750.3186
667	11742.82258
668	11736.0442
669	11731.59683
670	11726.28655
671	11720.25182
672	11703.44559
673	11700.21363
674	11699.44207
675	11695.49256
676	11694.74803
677	11693.17454
678	11691.87176
679	11688.24889
680	11662.56945
681	11657.45545
682	11654.76578
683	11653.99165
684	11649.46542
685	11648.75187
686	11646.18704
687	11644.60083
688	11638.73997
689	11637.55295
690	11633.20479
691	11597.83885
692	11574.00161
693	11569.91182
694	11564.9592
695	11560.59398
696	11558.21426
697	11554.28606
698	11546.77839
699	11546.11739
700	11543.59158
701	11542.22837
702	11532.58403
703	11529.33769
704	11525.02745
705	11519.43584
706	11504.67871
707	11501.94661
708	11497.77017
709	11493.76438
710	11492.91695
711	11489.53769
712	11468.91689
713	11458.12072
714	11455.32529
715	11454.50943
716	11453.7224
717	11451.62331
718	11450.0509
719	11442.49546
720	11438.57402
721	11432.24626
722	11430.74191
723	11410.55654
724	11409.94587
725	11394.38386
726	11373.14502
727	11366.14153
728	11353.25508
729	11352.6695
730	11345.42032
731	11344.61859
732	11342.38415
733	11323.95311
734	11322.70034
735	11319.52301
736	11311.0422
737	11309.75114
738	11304.78813
739	11303.62335
740	11284.41738
741	11280.67473
742	11274.64728
743	11272.1958
744	11270.6765
745	11267.63032
746	11265.37029
747	11262.80413
748	11255.09408
749	11249.35053
750	11231.94817
751	11227.01958
752	11223.24549
753	11221.62879
754	11220.54224
755	11218.58082
756	11213.84893
757	11212.80821
758	11200.52246
759	11199.78115
760	11198.74685
761	11192.29743
762	11190.08908
763	11184.26841
764	11181.82481
765	11179.13874
766	11176.60013
767	11172.29021
768	11171.72873
769	11169.6789
770	11164.87433
771	11161.86475
772	11159.76262
773	11152.64579
774	11148.81463
775	11131.17329
776	11129.11187
777	11125.51651
778	11123.72976
779	11118.19788
780	11114.29761
781	11109.89126
782	11109.04584
783	11099.92207
784	11097.42382
785	11096.87978
786	11095.79247
787	11092.23274
788	11085.53647
789	11081.56897
790	11062.94213
791	11058.3633
792	11052.45344
793	11050.14876
794	11046.07404
795	11043.93657
796	11042.64514
797	11038.40516
798	11034.13891
799	11030.51956
800	11028.48513
801	11019.5624
802	11015.70109
803	11014.47258
804	11011.28821
805	11006.09296
806	10997.13452
807	10993.84278
808	10989.91723
809	10987.45655
810	10979.08159
811	10976.9516
812	10974.58232
813	10969.7388
814	10957.60266
815	10955.35839
816	10951.62676
817	10945.83572
818	10943.8334
819	10928.18363
820	10916.98497
821	10910.76878
822	10907.97158
823	10901.91044
824	10899.54483
825	10897.19681
826	10895.51184
827	10893.7012
828	10892.2359
829	10888.5173
830	10886.13727
831	10884.43243
832	10882.56777
833	10881.51852
834	10874.73311
835	10869.38378
836	10866.263
837	10863.42994
838	10859.58011
839	10855.17446
840	10853.20411
841	10849.68207
842	10843.05133
843	10840.94858
844	10838.92383
845	10835.51584
846	10830.10354
847	10828.26751
848	10821.13133
849	10818.44022
850	10813.26756
851	10810.04845
852	10802.25996
853	10799.29244
854	10795.99904
855	10792.96141
856	10788.44563
857	10786.8003
858	10779.54535
859	10776.80087
860	10769.94825
861	10769.12562
862	10762.83666
863	10761.95855
864	10756.36114
865	10755.34422
866	10752.65955
867	10749.77627
868	10739.81083
869	10738.97504
870	10735.81147
871	10731.24332
872	10726.74908
873	10722.36225
874	10719.3237
875	10717.31438
876	10716.62528
877	10715.95887
878	10712.59234
879	10707.90968
880	10704.8389
881	10703.72897
882	10694.2631
883	10690.81758
884	10686.69533
885	10684.4993
886	10681.75444
887	10679.52603
888	10677.35145
889	10676.45995
890	10667.22146
891	10664.76864
892	10662.40738
893	10659.16403
894	10657.40523
895	10656.61718
896	10653.44589
897	10650.852
898	10643.62665
899	10641.76334
900	10640.10273
901	10637.562
902	10634.73608
903	10632.91512
904	10628.53656
905	10625.73969
906	10623.52145
907	10610.51081
908	10609.74674
909	10604.38903
910	10589.92581
911	10587.43128
912	10573.23276
913	10570.93828
914	10568.85443
915	10566.39076
916	10558.01755
917	10554.09571
918	10552.52573
919	10551.72348
920	10548.06845
921	10536.87124
922	10534.47886
923	10530.7275
924	10525.13426
925	10522.53562
926	10519.32164
927	10514.22364
928	10509.79434
929	10508.0805
930	10497.79444
931	10494.72684
932	10494.17325
933	10478.4884
934	10470.72724
935	10466.84822
936	10462.77159
937	10460.1814
938	10456.86203
939	10446.8037
940	10434.9371
941	10432.68821
942	10430.9475
943	10428.90268
944	10427.26064
945	10426.71886
946	10424.48457
947	10418.22159
948	10417.51864
949	10416.24736
950	10412.8126
951	10411.0615
952	10409.30955
953	10398.00618
954	10383.98217
955	10382.29808
956	10379.54698
957	10378.87499
958	10377.0459
959	10374.57264
960	10372.71526
961	10369.03794
962	10365.95107
963	10363.25337
964	10360.21108
965	10350.42863
966	10348.38223
967	10345.05101
968	10341.43298
969	10339.07163
970	10335.82538
971	10330.05035
972	10326.5286
973	10323.98731
974	10322.11765
975	10318.9044
976	10316.1049
977	10314.18276
978	10306.60607
979	10306.2498
980	10303.03521
981	10298.96885
982	10296.58221
983	10294.89339
984	10294.23107
985	10289.535
986	10286.63143
987	10286.05963
988	10283.04351
989	10278.26117
990	10276.75708
991	10273.69791
992	10271.46475
993	10268.19348
994	10266.22615
995	10260.2306
996	10258.30158
997	10255.85084
998	10251.62096
999	10248.84181
